Feature,RF,XGB,LR,Average
duration,1.0,0.52455014,1.0,0.8415167133013407
poutcome,0.14660603794362514,1.0,0.09073219477548068,0.41244607757303525
campaign,0.24196538430453354,0.58941436,0.2463568756903119,0.35924553937796116
contact,0.1244813161970239,0.8308468,0.04485490280177171,0.3333943351659397
month,0.2784718221273184,0.32983217,0.01339825828759972,0.20723408228275084
housing,0.08118698905489465,0.46571824,0.03380214006212288,0.19356912288761322
balance,0.19981485878484015,0.06888622,0.07864464419722823,0.1157819078124127
day,0.17148731989262683,0.099021,0.008320583051420256,0.09294296853143601
age,0.16128339220115703,0.05781004,0.0012007680837574648,0.07343139953769509
education,0.06559331395510042,0.13369413,0.016233829664865373,0.07184042360733327
loan,0.023690053361603614,0.15026878,0.027520623802929297,0.06715981845648361
pdays,0.07684370854734013,0.058690842,0.05973060806332535,0.06508838628390477
previous,0.0806473056216069,0.10330954,0.0032799956749189644,0.062412281079071645
job_student,0.009506584814116247,0.095381305,0.018062290990605908,0.040983393475472876
marital_married,0.021503674938154815,0.06349161,0.004438943814403912,0.029811410475121505
job_blue-collar,0.01897384387943594,0.038956255,0.01830955908055859,0.025413219226894133
job_retired,0.010452021467555483,0.041703675,0.01858434230863841,0.02358001290614964
job_entrepreneur,0.006310867690653047,0.042046398,0.01867921973280184,0.02234549511595937
job_housemaid,0.00568218021350865,0.04048118,0.0185982234915254,0.021587194552551838
job_self-employed,0.007052108036003486,0.041039657,0.016633150171295814,0.021574971685004895
job_management,0.017125979413914395,0.0411923,0.005982136369615391,0.021433472133741544
job_technician,0.01657293781681407,0.03790249,0.009056170254303622,0.021177199125220078
job_services,0.010235544850921076,0.034122106,0.016626132452903133,0.020327927663893627
default,0.003678794438083722,0.031387147,0.0217877779629527,0.018951239654458097
marital_single,0.017003966220667393,0.031217815,0.00598034492808356,0.018067375501072465
job_unemployed,0.006769088778541592,0.02976716,0.010758356309160753,0.015764868153423494
job_unknown,0.0016794488554644736,0.037542235,0.0062817125956059405,0.0151677988524334
