Feature,Coefficient,Abs_Coefficient
duration,29.376039644221088,29.376039644221088
campaign,-7.236989346905048,7.236989346905048
poutcome,2.66535255073171,2.66535255073171
balance,2.3102681857434386,2.3102681857434386
pdays,-1.7546487104416773,1.7546487104416773
contact,1.3176594029425293,1.3176594029425293
housing,-0.9929730065244354,0.9929730065244354
loan,-0.8084469358685455,0.8084469358685455
default,-0.6400386291991851,0.6400386291991851
job_entrepreneur,-0.5487214993939037,0.5487214993939037
job_housemaid,-0.5463421505991342,0.5463421505991342
job_retired,0.5459343764203372,0.5459343764203372
job_blue-collar,-0.5378623334186974,0.5378623334186974
job_student,0.5305985762054966,0.5305985762054966
job_self-employed,-0.48861607884026864,0.48861607884026864
job_services,-0.48840992606655326,0.48840992606655326
education,0.47688562381261757,0.47688562381261757
month,-0.39358776662004313,0.39358776662004313
job_unemployed,-0.31603790144456234,0.31603790144456234
job_technician,-0.26603441641523895,0.26603441641523895
day,-0.2444257775815555,0.2444257775815555
job_unknown,-0.18453183824212305,0.18453183824212305
job_management,-0.17573147515095855,0.17573147515095855
marital_single,0.17567884969349917,0.17567884969349917
marital_married,-0.1303985894703993,0.1303985894703993
previous,0.0963532829792932,0.0963532829792932
age,0.03527381083197467,0.03527381083197467
