Feature,Importance
duration,0.35655472732692944
month,0.09929044460683922
campaign,0.08627390162325865
balance,0.07124493248989759
day,0.061144614584341485
age,0.057506355928645767
poutcome,0.052273075883470736
contact,0.04438440175392715
housing,0.028947604744962364
previous,0.02875517806556359
pdays,0.027398987547886895
education,0.023387606171730507
loan,0.008446800516706985
marital_married,0.007667236954100716
job_blue-collar,0.006765213730776012
job_management,0.006106348920134854
marital_single,0.006062844539286382
job_technician,0.005909159324280298
job_retired,0.003726717664379458
job_services,0.0036495319033627207
job_student,0.003389617756207547
job_self-employed,0.002514462457857271
job_unemployed,0.002413550603684675
job_entrepreneur,0.002250169708637126
job_housemaid,0.0020260082166500505
default,0.0013116915477627662
job_unknown,0.0005988154287196591
