Feature,Importance
poutcome,0.19927174
contact,0.16556428
campaign,0.11745362
duration,0.10452802
housing,0.092804484
month,0.06572623
loan,0.02994432
education,0.02664146
previous,0.020586671
day,0.019732088
job_student,0.019006798
balance,0.013727076
marital_married,0.012652084
pdays,0.011695426
age,0.011519907
job_entrepreneur,0.008378658
job_retired,0.008310364
job_management,0.008208461
job_self-employed,0.008178044
job_housemaid,0.008066755
job_blue-collar,0.0077628805
job_technician,0.0075528948
job_unknown,0.0074811066
job_services,0.0067995717
default,0.006254571
marital_single,0.0062208283
job_unemployed,0.0059317537
